State,State,District,Women,Men
OR,Orissa,Bhadrak,1017,101
OR,Orissa,Cuttack,876,127
OR,Orissa,Debagarh,917,110
OR,Orissa,Dhenkanal,1000,133
OR,Orissa,Gajapati,978,134
OR,Orissa,Ganjam,948,95
OR,Orissa,Jagatsinghapur,1049,106
OR,Orissa,Jajapur,1085,150
OR,Orissa,Jharsuguda,2189,294
OR,Orissa,Kalahandi,892,116
OR,Orissa,Kandhamal,1133,142
OR,Orissa,Kendrapara,1021,91
OR,Orissa,Kendujhar,973,108
OR,Orissa,Khordha,1822,212
OR,Orissa,Koraput,963,130
OR,Orissa,Malkangiri,1022,140
OR,Orissa,Mayurbhanj,957,126
OR,Orissa,Nabarangapur,1191,169
OR,Orissa,Nayagarh,975,121
OR,Orissa,Nuapada,1092,128
OR,Orissa,Puri,1135,144
OR,Orissa,Rayagada,1030,139
OR,Orissa,Sambalpur,963,116
OR,Orissa,Subarnapur,1067,146
OR,Orissa,Sundargarh,2175,253
PB,Punjab,Amritsar,1051,158
PB,Punjab,Barnala,970,173
PB,Punjab,Bathinda,1033,176
PB,Punjab,Faridkot,1026,167
PB,Punjab,Fatehgarh Sahib,864,132
PB,Punjab,Firozpur,1022,155
PB,Punjab,Gurdaspur,941,162
PB,Punjab,Hoshiarpur,925,121
PB,Punjab,Jalandhar,986,142
PB,Punjab,Kapurthala,960,152
PB,Punjab,Ludhiana,918,129
PB,Punjab,Mansa,1013,163
PB,Punjab,Moga,1003,155
PB,Punjab,Muktsar,975,171
PB,Punjab,Patiala,1042,178
PB,Punjab,Rup Nagar,925,117
PB,Punjab,Sahibzada Ajit Singh Nagar,880,149
PB,Punjab,Sahid Bhagat Singh Nagar,881,113
PB,Punjab,Sangrur,1050,166
PB,Punjab,Tarn Taran,1019,148
PY,Puducherry,Karaikal,922,124
PY,Puducherry,Mahe,1058,132
PY,Puducherry,Puducherry,1019,179
PY,Puducherry,Yanam,1013,175
RJ,Rajasthan,Ajmer,2335,314
RJ,Rajasthan,Alwar,1113,139
RJ,Rajasthan,Banswara,1100,153
RJ,Rajasthan,Baran,1173,146
RJ,Rajasthan,Barmer,963,114
RJ,Rajasthan,Bharatpur,1077,176
RJ,Rajasthan,Bhilwara,1011,122
RJ,Rajasthan,Bikaner,2456,338
RJ,Rajasthan,Bundi,985,164
RJ,Rajasthan,Chittaurgarh,872,145
RJ,Rajasthan,Churu,1144,160
RJ,Rajasthan,Dausa,1097,146
RJ,Rajasthan,Dhaulpur,1142,168
RJ,Rajasthan,Dungarpur,1087,139
RJ,Rajasthan,Ganganagar,1225,198
RJ,Rajasthan,Hanumangarh,1122,193
RJ,Rajasthan,Jaipur,2334,326
RJ,Rajasthan,Jaisalmer,1017,144
RJ,Rajasthan,Jalor,1122,177
RJ,Rajasthan,Jhalawar,1038,157
RJ,Rajasthan,Jhunjhunun,1234,161
RJ,Rajasthan,Jodhpur,2265,290
RJ,Rajasthan,Karauli,1100,167
RJ,Rajasthan,Kota,2156,351
